State,Interest Score
Selangor,100
Pulau Pinang,79
W.P. Kuala Lumpur,77
W.P. Putrajaya,64
Johor,52
Sarawak,43
Negeri Sembilan,40
Perak,37
Melaka,36
Kedah,30
Pahang,26
Kelantan,26
Sabah,26
Terengganu,25
Perlis,20
W.P. Labuan,8
