State,Interest Score
Selangor,100
Pulau Pinang,89
W.P. Kuala Lumpur,74
Sarawak,72
Melaka,72
Negeri Sembilan,67
Johor,62
Sabah,61
Perak,57
Terengganu,55
Kedah,54
Pahang,49
W.P. Putrajaya,46
W.P. Labuan,42
Kelantan,41
Perlis,30
