State,Interest Score
Pulau Pinang,100
Selangor,93
W.P. Putrajaya,89
Negeri Sembilan,88
W.P. Kuala Lumpur,81
Sabah,79
Perak,79
W.P. Labuan,76
Johor,76
Kedah,71
Melaka,71
Sarawak,66
Pahang,65
Terengganu,65
Perlis,59
Kelantan,49
