,,cluster_community,cluster_detentionCentre,cluster_education,cluster_highRisk,cluster_import,cluster_religious,cluster_workplace,rtk-ag,pcr,cases_import,cases_new,cases_recovered,Checkins number,beds_pkrc,admitted_pui_pkrc,admitted_covid_pkrc,admitted_total_pkrc,discharge_pui_pkrc,discharge_covid_pkrc,discharge_total_pkrc,pkrc_covid_pkrc,pkrc_pui_pkrc,pkrc_noncovid_pkrc,beds_hospital,beds_covid_hospital,beds_noncrit_hospital,admitted_pui_hospital,admitted_covid_hospital,admitted_total_hospital,discharged_pui_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,hosp_pui_hospital,hosp_noncovid_hospital
2021-07-31,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3300,3821,0,1389,1042,670175,540,0,72,72,0,37,37,342,0,0,2664,974,2532,24,145,169,0,44,44,1014,28,1216
2021-07-31,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037,2415,0,653,239,652502,3106,7,274,281,3,329,332,2465,49,0,2250,842,2161,17,49,66,13,48,61,763,56,759
2021-07-31,Selangor,1.0,1.0,0.0,0.0,0.0,0.0,6.0,23177,16831,9,6400,4961,4321028,4536,2,380,382,0,401,401,2778,5,0,6336,4432,5943,71,712,783,46,407,453,3833,165,1476
2021-08-01,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5557,6913,0,1045,1200,1865661,2863,0,450,450,0,505,505,2271,0,0,5160,1662,4973,106,253,359,84,190,274,1562,291,2652
2021-08-01,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4162,2175,0,1511,633,683520,540,0,81,81,0,46,46,360,0,0,2664,1044,2532,9,113,122,0,60,60,998,14,1233
2021-08-01,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933,4227,0,676,445,550986,3106,9,325,334,4,279,283,2801,54,0,2250,842,2161,14,81,95,19,49,68,517,49,758
2021-08-01,Selangor,1.0,0.0,1.0,1.0,0.0,0.0,1.0,17569,11667,0,6326,4780,3795026,4536,0,401,401,0,453,453,2749,9,0,6336,4388,5943,50,724,774,28,439,467,4025,217,1467
2021-08-02,Johor,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6665,5269,1,1222,798,2117255,2948,0,386,386,0,339,339,2306,0,0,5160,1710,4973,136,195,331,100,180,280,1569,272,2645
2021-08-02,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5318,2704,0,1108,724,748701,540,0,53,53,0,44,44,354,0,0,2664,1044,2532,0,117,117,0,71,71,1004,6,1223
2021-08-02,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2831,3033,0,475,512,772257,3106,5,283,288,9,244,253,2825,50,0,2250,842,2160,26,55,81,94,55,149,512,47,673
2021-08-02,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33372,11352,2,6067,4408,4345307,4536,0,366,366,0,443,443,2735,7,0,6336,4426,5943,43,572,615,25,369,394,4079,163,1364
2021-08-03,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7078,9142,0,1275,670,2175353,2942,0,324,324,0,317,317,2313,0,0,5160,1710,4973,131,258,389,89,188,277,1611,294,2654
2021-08-03,Kedah,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4516,3776,0,1036,292,755266,540,0,52,52,0,65,65,342,0,0,2664,1044,2532,7,129,136,0,68,68,1029,8,1147
2021-08-03,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2220,3135,1,628,410,762767,3106,4,223,227,3,194,197,2822,50,0,2250,842,2156,15,80,95,21,50,71,532,45,802
2021-08-03,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,5.0,32708,21840,2,5836,5538,4347750,4536,0,275,275,0,319,319,2675,10,0,6336,4426,5925,55,646,701,54,613,667,4131,176,1327
2021-08-04,Johor,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6979,9027,1,1162,464,2172794,2942,0,350,350,0,555,555,2098,0,0,5160,1779,4973,163,279,442,128,236,364,1627,282,2626
2021-08-04,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4255,3558,0,1371,2015,734760,540,0,65,65,0,64,64,335,0,0,2664,1044,2532,6,113,119,0,60,60,1070,10,1016
2021-08-04,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362,4843,0,558,446,761640,3106,7,267,274,14,395,409,2603,44,0,2250,842,2156,13,74,87,16,81,97,521,44,818
2021-08-04,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,6.0,30422,16355,2,8377,5499,4309744,4536,2,418,420,0,426,426,2702,8,0,6336,4426,5925,57,701,758,51,460,511,4178,174,1299
2021-08-05,Johor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6941,8962,13,1300,826,2181350,2942,0,504,504,0,463,463,2091,0,0,5160,1779,4973,177,238,415,112,208,320,1624,313,2564
2021-08-05,Kedah,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4902,3350,0,1446,1085,760783,600,2,64,66,0,69,69,322,2,0,2664,1044,2532,10,125,135,1,80,81,1067,14,1241
2021-08-05,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2247,4731,0,426,378,762752,3106,8,228,236,6,352,358,2648,54,0,2250,842,2156,15,68,83,10,87,97,502,49,837
2021-08-05,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28657,15902,5,8549,6071,4255167,4536,2,422,424,0,422,422,2760,11,0,6336,4627,5929,82,527,609,38,468,506,4095,241,1212
2021-08-06,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8219,10156,0,1275,687,2104794,2942,0,480,480,0,331,331,2234,0,0,5160,1779,4973,171,289,460,139,216,355,1685,287,2439
2021-08-06,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4336,3484,0,1371,1448,673888,600,0,52,52,0,69,69,312,0,0,2664,1044,2532,10,181,191,0,84,84,1084,16,1191
2021-08-06,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2484,4609,0,610,330,776848,3106,7,273,280,8,274,282,2616,44,0,2250,842,2156,8,49,57,11,55,66,491,47,824
2021-08-06,Selangor,1.0,0.0,0.0,2.0,0.0,0.0,5.0,28713,16919,3,8792,7665,4415002,4536,3,503,506,0,394,394,2911,10,0,6336,4627,5929,55,652,707,53,519,572,4128,204,1525
2021-08-07,Johor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8393,10521,0,1182,736,2135988,2942,0,430,430,0,291,291,2322,0,0,5160,1779,4973,118,204,322,110,165,275,1678,253,2474
2021-08-07,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4134,3631,0,1514,1233,732358,600,0,100,100,0,64,64,328,0,0,2664,1044,2532,8,129,137,0,60,60,1111,22,1228
2021-08-07,Pahang,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3252,3480,0,714,377,711520,3106,9,292,301,9,382,391,2523,44,0,2250,842,2156,15,59,74,24,66,90,563,40,720
2021-08-07,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23481,16975,1,7084,7145,4376713,4536,0,422,422,0,342,342,2942,12,0,6336,4631,5929,62,638,700,45,563,608,4106,158,1341
2021-08-08,Johor,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8855,8434,1,1308,967,1960979,2942,0,298,298,0,335,335,2283,0,0,5160,1779,4973,142,233,375,89,184,273,1748,271,2494
2021-08-08,Kedah,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4925,2856,0,1610,1356,741468,600,0,89,89,0,48,48,361,0,0,2664,1044,2532,14,85,99,1,49,50,1131,17,1234
2021-08-08,Pahang,5.0,1.0,0.0,0.0,0.0,0.0,2.0,2185,3718,0,602,497,551601,3173,14,279,293,1,441,442,2352,58,0,2250,842,2156,14,75,89,19,40,59,503,36,707
2021-08-08,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,4.0,16802,12971,0,6565,8205,3575494,4556,1,455,456,1,466,467,2952,9,0,6336,4626,5929,76,613,689,27,374,401,4218,237,1284
2021-08-09,Johor,1.0,0.0,0.0,0.0,0.0,1.0,8.0,9952,6964,1,1232,1261,2188980,2942,0,391,391,0,350,350,2323,0,0,5160,1779,4973,167,284,451,91,222,313,1768,314,2471
2021-08-09,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5749,3966,0,1328,1215,753910,600,0,89,89,0,48,48,361,0,0,2664,1044,2524,15,136,151,0,88,88,1135,17,691
2021-08-09,Pahang,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3539,4011,0,604,500,769189,3173,5,295,300,3,215,218,2413,60,0,2250,842,2156,15,64,79,7,61,68,497,45,832
2021-08-09,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,4.0,33032,9926,28,5740,6701,4334612,4556,4,433,437,2,485,487,3079,11,0,6336,4629,5929,73,518,591,51,420,471,4054,191,1455
2021-08-10,Johor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9446,8548,0,1344,722,1938809,2942,0,567,567,0,278,278,2597,0,0,5160,1818,4973,173,276,449,85,208,293,1787,311,2400
2021-08-10,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3606,3648,0,1830,968,639460,600,0,78,78,0,44,44,396,0,0,2664,1044,2524,2,123,125,0,92,92,1127,12,1214
2021-08-10,Pahang,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1969,4373,0,539,299,644621,3173,3,284,287,10,287,297,2420,53,0,2250,842,2156,14,71,85,15,88,103,478,53,777
2021-08-10,Selangor,1.0,0.0,0.0,2.0,0.0,0.0,3.0,22847,19068,0,7338,6576,3846815,4556,1,392,393,0,477,477,2996,9,0,6336,4629,5929,77,720,797,51,410,461,3961,238,1142
2021-08-11,Johor,1.0,0.0,0.0,1.0,0.0,0.0,4.0,10637,8145,0,1693,798,2140720,2942,0,362,362,0,292,292,2619,0,0,5160,1818,4973,147,288,435,96,184,280,1867,266,2689
2021-08-11,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6669,4240,0,1534,1015,745512,600,0,76,76,0,65,65,400,0,0,2664,1044,2524,10,137,147,0,69,69,1150,13,1242
2021-08-11,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3067,5322,0,585,434,773616,3173,0,377,377,1,329,330,2477,56,0,2250,842,2156,18,87,105,12,57,69,503,49,804
2021-08-11,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,30236,14588,11,6921,7107,4280774,4556,0,423,423,0,365,365,3108,9,0,6302,4703,5895,60,673,733,32,534,566,4108,237,1417
2021-08-12,Johor,1.0,0.0,1.0,0.0,0.0,0.0,6.0,11670,11468,0,1706,1128,2086901,3442,0,502,502,0,445,445,2657,0,0,5160,1852,4973,144,273,417,61,242,303,1860,326,2443
2021-08-12,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6075,4148,0,2143,1517,735725,600,0,57,57,0,55,55,389,0,0,2664,1101,2524,9,176,185,0,117,117,1139,20,1220
2021-08-12,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2640,5318,0,629,605,764007,3438,8,368,376,1,272,273,2606,63,0,2245,853,2151,15,56,71,15,60,75,491,49,841
2021-08-12,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,9.0,28066,21445,2,6278,7049,4300010,4556,2,488,490,0,404,404,3150,6,0,6302,4703,5895,112,614,726,52,313,365,4094,276,1388
2021-08-13,Johor,0.0,0.0,0.0,3.0,0.0,0.0,3.0,9617,11029,1,1485,1244,1996577,3442,4,430,434,0,443,443,2552,1,7,5160,2038,4973,103,320,423,97,248,345,1925,241,2342
2021-08-13,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4262,4240,0,1807,1348,596335,540,0,91,91,0,83,83,384,0,0,2664,1101,2524,12,159,171,7,131,138,1143,17,1197
2021-08-13,Pahang,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2426,5328,0,572,442,761029,3438,3,336,339,8,206,214,2688,52,0,2135,835,2043,14,61,75,3,39,42,428,42,824
2021-08-13,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,10.0,26078,19986,2,7449,6121,4322132,4556,3,633,636,0,544,544,3312,7,0,6302,4692,5895,82,587,669,68,541,609,3944,282,1435
2021-08-14,Johor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9664,10284,0,1425,1092,1914237,1942,5,229,234,3,215,218,1434,10,0,5160,2038,4973,88,290,378,44,158,202,2062,244,1663
2021-08-14,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473,3511,0,1796,1202,675719,600,0,54,54,0,30,30,349,0,0,2664,1101,2524,8,123,131,1,48,49,1115,17,1199
2021-08-14,Pahang,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2132,5237,0,794,606,685035,3438,6,249,255,9,185,194,2536,49,0,2135,835,2043,14,42,56,2,38,40,485,39,910
2021-08-14,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,21336,16792,5,6606,6402,4163047,4556,2,491,493,1,424,425,3357,8,0,6302,4692,5895,83,614,697,60,424,484,4172,303,1319
2021-08-15,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10384,8051,0,1508,998,1853154,1942,4,293,297,3,212,215,1504,9,0,5160,2189,5000,87,280,367,75,205,280,2066,234,2369
2021-08-15,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5490,3835,0,1596,1457,656037,1026,0,102,102,0,75,75,373,0,0,2664,1101,2524,14,127,141,2,98,100,1182,19,1190
2021-08-15,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1724,4825,6,926,653,545463,3438,6,263,269,9,120,129,2566,49,0,2135,835,2043,14,66,80,6,42,48,485,31,924
2021-08-15,Selangor,0.0,0.0,0.0,2.0,0.0,0.0,4.0,14454,13210,3,7307,6329,3504650,4556,1,531,532,0,564,564,3289,7,0,6302,4713,5895,61,514,575,43,349,392,3979,260,1346
2021-08-16,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11872,8174,0,1510,1163,2093647,3142,3,227,230,2,400,402,2458,12,0,5160,2189,5000,138,253,391,47,229,276,2075,266,2439
2021-08-16,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5358,4406,0,1592,1354,677438,1026,0,86,86,0,57,57,394,0,0,2664,1101,2524,10,147,157,3,94,97,1177,20,1208
2021-08-16,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2941,4506,0,646,521,759754,3438,4,392,396,3,211,214,3110,71,0,2135,835,2043,14,91,105,12,52,64,533,40,890
2021-08-16,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,7.0,27535,12632,15,5706,6198,4258404,4556,0,445,445,1,457,458,3192,6,0,6302,4713,5895,77,449,526,171,304,475,3924,249,1377
2021-08-17,Johor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11416,11641,0,1309,1236,2045614,1642,4,264,268,2,266,268,1295,14,0,5160,2189,5000,127,320,447,91,238,329,2081,287,2315
2021-08-17,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5547,4192,0,1863,1287,695863,1026,0,63,63,0,69,69,387,0,0,2664,1101,2524,6,167,173,2,92,94,1183,22,650
2021-08-17,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2601,4893,0,670,613,727025,3398,15,447,462,0,362,362,2944,70,0,2135,835,2043,15,61,76,11,43,54,550,49,886
2021-08-17,Selangor,2.0,0.0,0.0,1.0,0.0,0.0,7.0,25154,20177,2,5753,5874,4305064,4556,12,341,353,1,514,515,3113,6,0,6302,4713,5894,74,517,591,44,428,472,3648,280,1454
2021-08-18,Johor,2.0,1.0,0.0,1.0,0.0,0.0,5.0,11901,11338,0,1477,1096,2054208,1942,0,296,296,1,260,261,1480,13,0,5160,2189,5000,113,381,494,93,244,337,2076,258,2349
2021-08-18,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5810,5114,0,1852,1269,690294,1026,0,77,77,0,51,51,403,0,0,2664,1101,2524,12,183,195,2,102,104,1186,16,1119
2021-08-18,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2280,5332,0,675,541,749291,3648,14,416,430,5,346,351,3246,55,0,2135,835,2043,13,56,69,19,68,87,509,33,874
2021-08-18,Selangor,1.0,0.0,0.0,1.0,0.0,0.0,8.0,25204,17493,4,6858,8241,4079969,4556,1,488,489,0,473,473,3078,8,0,6302,4713,5894,65,516,581,68,389,457,3633,283,1539
2021-08-19,Johor,2.0,0.0,0.0,1.0,0.0,0.0,2.0,11147,11187,0,1526,1363,2069826,2456,2,281,283,1,388,389,1629,13,0,5160,2189,5000,121,286,407,91,268,359,2073,220,2288
2021-08-19,Kedah,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5950,5282,0,2137,1623,755237,1026,0,76,76,0,69,69,411,0,0,2664,1101,2524,17,131,148,4,114,118,1142,40,1187
2021-08-19,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2791,5151,0,736,583,790925,3648,6,323,329,9,339,348,2984,23,0,2135,835,2043,22,35,57,8,45,53,491,52,833
2021-08-19,Selangor,1.0,0.0,0.0,0.0,0.0,1.0,10.0,21565,17105,0,7175,8417,4689665,4556,0,447,447,0,538,538,3118,6,0,6302,4713,5894,88,473,561,50,331,381,3601,316,1447
2021-08-20,Johor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8821,10304,0,1323,1257,1920225,2456,0,342,342,6,281,287,1679,7,0,5160,2312,5000,118,253,371,68,255,323,2011,201,2256
2021-08-20,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5178,5051,0,1932,1455,635039,1026,0,74,74,0,60,60,425,0,0,2664,1101,2524,18,142,160,9,106,115,1103,27,1150
2021-08-20,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,3968,0,517,660,782012,3648,8,498,506,2,324,326,3451,24,0,2135,835,2043,10,60,70,15,51,66,471,39,743
2021-08-20,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,7.0,22209,16168,2,6974,8801,4517860,4556,0,482,482,0,668,668,2971,4,0,6302,4625,5894,87,495,582,67,166,233,3446,300,1440
2021-08-21,Johor,2.0,0.0,0.0,0.0,0.0,0.0,4.0,9212,11626,1,1558,1012,2069248,2456,0,306,306,1,289,290,1687,6,0,5160,2312,5000,123,266,389,75,222,297,2042,214,2214
2021-08-21,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4572,4463,0,1880,1780,721952,1026,0,47,47,0,73,73,394,0,0,2664,1101,2524,21,124,145,13,68,81,1149,12,1185
2021-08-21,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2414,3821,0,664,712,741550,3648,5,289,294,3,277,280,3477,69,0,2135,835,2043,14,52,66,9,67,76,496,46,794
2021-08-21,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,18606,13065,2,7011,6812,4927313,4556,2,490,492,2,523,525,2907,5,0,6302,4625,5894,93,429,522,54,475,529,3457,273,1513
2021-08-22,Johor,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10544,9101,0,1391,1225,1817591,3517,2,429,431,2,363,365,2684,6,0,5160,2312,5000,91,274,365,58,198,256,2125,187,2311
2021-08-22,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4891,3576,0,1948,1891,709067,1026,0,76,76,0,83,83,374,0,0,2664,1101,2524,8,119,127,6,73,79,1129,10,769
2021-08-22,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1453,4403,0,598,437,609213,3648,10,320,330,6,299,305,3524,68,0,2135,835,2043,8,46,54,11,41,52,493,40,839
2021-08-22,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13281,11060,2,5379,6453,4288216,4556,2,420,422,126,488,614,2768,11,0,6302,4625,5894,79,406,485,35,251,286,3349,302,1478
2021-08-23,Johor,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13182,7466,1,1367,1299,2122345,3467,0,294,294,4,286,290,2638,2,0,5160,2312,5000,113,304,417,71,257,328,2139,203,2276
2021-08-23,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5824,3810,0,1602,2084,748344,1026,0,77,77,0,58,58,392,0,0,2664,1101,2524,55,178,233,31,96,127,1122,17,849
2021-08-23,Pahang,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2757,4711,0,506,690,814806,3883,9,255,264,6,272,278,3484,61,0,2135,835,2043,12,50,62,8,25,33,512,46,844
2021-08-23,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28344,11308,0,4316,5759,4764049,4556,1,378,379,0,414,414,2695,69,0,6302,4600,5894,77,393,470,45,303,348,3317,271,1427
2021-08-24,Johor,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11657,12666,0,1743,1305,1958351,3447,1,437,438,0,429,429,2587,3,0,5160,2403,5000,138,345,483,74,278,352,2177,223,2270
2021-08-24,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5444,4440,0,1772,1648,691587,1026,0,72,72,0,71,71,392,0,0,2664,1101,2524,9,165,174,7,127,134,1086,17,798
2021-08-24,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2757,6592,0,521,456,801910,3883,9,269,278,5,316,321,3401,70,0,2135,835,2043,13,50,63,7,61,68,497,52,855
2021-08-24,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,6.0,28652,16141,14,4645,7306,4760774,4506,5,385,390,1,478,479,2616,12,0,6302,4560,5894,102,426,528,83,431,514,3159,289,1477
2021-08-25,Johor,1.0,1.0,0.0,2.0,0.0,0.0,5.0,12850,12068,0,1832,1594,2157984,2156,2,331,333,1,320,321,1591,4,0,5160,2403,5000,147,334,481,78,276,354,2196,223,2263
2021-08-25,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5306,3728,0,2279,1813,768578,1026,0,68,68,0,76,76,376,0,0,2664,1165,2517,24,147,171,2,94,96,1085,34,1198
2021-08-25,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2755,4466,0,522,545,816786,3883,14,211,225,3,500,503,3496,78,0,2135,835,2043,39,69,108,18,70,88,463,68,850
2021-08-25,Selangor,1.0,0.0,0.0,1.0,0.0,0.0,5.0,23821,16204,4,6325,6779,4824441,4506,2,456,458,0,476,476,2626,56,0,6302,4560,5866,122,388,510,70,421,491,3118,309,1465
2021-08-26,Johor,2.0,0.0,0.0,3.0,0.0,0.0,5.0,12168,10552,0,2785,1533,2136331,3447,1,543,544,0,383,383,2688,5,0,5160,2403,5000,149,361,510,68,298,366,2207,220,2373
2021-08-26,Kedah,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4261,4515,0,1538,2142,769793,1026,0,104,104,0,55,55,411,0,0,2664,1165,2517,14,130,144,14,106,120,1071,17,798
2021-08-26,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2745,5090,0,690,923,816343,4265,6,314,320,9,460,469,3170,72,0,2145,734,2053,21,41,62,10,42,52,424,72,866
2021-08-26,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,8.0,21864,12177,0,6936,6156,4900249,4446,0,489,489,1,404,405,2758,8,0,6302,4560,5866,133,416,549,114,333,447,2936,316,1450
2021-08-27,Johor,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10439,10684,3,1809,1357,2127236,3539,3,595,598,1,425,426,2880,7,16,5160,2423,5000,137,303,440,65,278,343,2230,240,2264
2021-08-27,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4596,4171,0,2072,2123,683587,1026,0,124,124,0,75,75,455,0,0,2664,1165,2517,13,136,149,5,97,102,1079,23,1183
2021-08-27,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2921,5166,0,610,669,835287,4265,10,304,314,9,481,490,3015,74,0,2145,734,2053,16,59,75,17,61,78,428,64,853
2021-08-27,Selangor,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21003,12672,1,5920,7295,5003807,4446,2,477,479,8,479,487,2817,70,0,6302,4560,5866,122,329,451,97,289,386,2864,328,1502
2021-08-28,Johor,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10089,9866,1,1896,1271,2091315,3542,1,447,448,2,402,404,2931,6,5,5160,2423,5000,105,377,482,108,263,371,2275,194,2293
2021-08-28,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840,3880,0,2162,1867,760141,1026,0,56,56,0,62,62,440,0,0,2664,1165,2517,9,113,122,2,75,77,1070,14,1112
2021-08-28,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2216,4053,0,579,840,764447,4265,25,273,298,3,311,314,3303,77,0,2145,734,2053,10,59,69,16,39,55,440,57,838
2021-08-28,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13930,11236,3,5814,6373,5201604,4446,4,471,475,1,464,465,2858,0,0,6302,4560,5866,115,359,474,65,396,461,2631,369,1484
2021-08-29,Johor,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11579,8369,0,1852,1365,1874470,3554,0,531,531,4,480,484,2974,2,5,5160,2423,5000,153,305,458,64,213,277,2320,251,2335
2021-08-29,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510,4392,0,1755,1940,729657,1026,0,81,81,0,71,71,438,0,0,2664,1165,2517,14,127,141,12,45,57,1092,14,764
2021-08-29,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664,4115,0,839,635,602122,4265,95,229,324,9,335,344,3038,83,0,2145,734,2053,16,51,67,10,28,38,462,65,834
2021-08-29,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10402,7923,0,4591,7201,4497221,4446,0,587,587,0,438,438,2975,12,0,6302,4543,5866,85,362,447,47,275,322,2652,332,1531
2021-08-30,Johor,0.0,0.0,1.0,1.0,0.0,0.0,6.0,12963,8582,0,2265,1355,2129578,3585,2,521,523,1,433,434,3052,3,6,5160,2453,5000,130,349,479,95,305,400,2295,249,2302
2021-08-30,Kedah,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5009,4073,0,2084,1913,802373,1026,0,68,68,0,86,86,406,0,0,2664,1165,2517,13,137,150,4,105,109,1093,25,838
2021-08-30,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3181,4790,0,788,514,822824,4265,4,299,303,4,404,408,2961,79,0,2145,734,2053,5,47,52,13,56,69,463,59,823
2021-08-30,Selangor,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24784,11085,0,3567,5720,5211401,4446,0,379,379,1,423,424,2949,10,0,6302,4543,5866,85,293,378,55,251,306,2631,335,1569
2021-08-31,Johor,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8119,10228,0,2159,1239,1754546,2385,0,384,384,1,306,307,2021,2,2,5160,2453,5000,156,358,514,79,300,379,2271,278,2295
2021-08-31,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2535,3642,0,1942,1870,612695,826,0,62,62,0,60,60,395,0,0,2664,1165,2517,10,158,168,3,95,98,1065,28,773
2021-08-31,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1267,3105,0,798,545,616722,4265,7,383,390,5,289,294,2683,438,0,2145,734,2053,8,63,71,11,62,73,434,55,917
2021-08-31,Selangor,0.0,1.0,0.0,1.0,0.0,0.0,2.0,16278,14598,1,4371,3729,4467788,4124,2,364,366,0,447,447,2897,0,0,6302,4247,5866,105,285,390,61,242,303,2424,353,1493
