,,cluster_community,cluster_detentionCentre,cluster_education,cluster_highRisk,cluster_import,cluster_religious,cluster_workplace,rtk-ag,pcr,cases_import,cases_new,cases_recovered,Checkins number,beds_pkrc,admitted_pui_pkrc,admitted_covid_pkrc,admitted_total_pkrc,discharge_pui_pkrc,discharge_covid_pkrc,discharge_total_pkrc,pkrc_covid_pkrc,pkrc_pui_pkrc,pkrc_noncovid_pkrc,beds_hospital,beds_covid_hospital,beds_noncrit_hospital,admitted_pui_hospital,admitted_covid_hospital,admitted_total_hospital,discharged_pui_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,hosp_pui_hospital,hosp_noncovid_hospital
2021-07-07,Selangor,1.0,0.0,1.0,1.0,0.0,0.0,1.0,12536,18764,5,3119,1755,3588885,5668,3,955,958,1,720,721,4760,4,40,6568,2902,6164,116,397,513,93,329,422,2353,369,2325
2021-07-08,Johor,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2551,3953,0,336,351,2170388,2502,0,142,142,0,112,112,1080,0,0,5160,1521,4973,159,132,291,122,102,224,731,255,3017
2021-07-08,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2803,2181,0,360,206,734976,540,0,32,32,0,67,67,413,0,0,2755,601,2630,4,69,73,0,48,48,434,6,1616
2021-07-08,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1478,2397,0,152,117,731367,2908,9,171,180,3,165,168,1580,42,0,2250,842,2175,19,32,51,10,44,54,429,42,1001
2021-07-08,Selangor,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16973,18530,1,4152,2224,3495833,5668,0,663,663,0,952,952,4473,2,40,6568,2929,6164,102,470,572,82,381,463,2420,327,2157
2021-07-09,Johor,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2993,5359,2,315,226,2068093,2502,0,206,206,0,126,126,1154,0,0,5160,1521,4973,136,154,290,85,102,187,757,242,2855
2021-07-09,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931,1467,0,417,222,618166,540,1,91,92,0,54,54,427,1,0,2755,601,2630,8,77,85,1,41,42,453,9,1535
2021-07-09,Pahang,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2201,2862,0,214,181,730236,2908,2,189,191,0,136,136,1634,41,0,2250,842,2175,9,31,40,6,46,52,427,46,899
2021-07-09,Selangor,0.0,1.0,1.0,0.0,0.0,0.0,6.0,21468,19914,1,4400,2062,3713353,5668,1,209,210,0,1077,1077,3606,2,40,6568,2976,6164,90,493,583,72,330,402,2527,320,2180
2021-07-10,Johor,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2177,4402,0,399,249,1905376,2502,0,183,183,0,94,94,1230,0,0,5160,1521,4973,123,137,260,102,79,181,833,243,2843
2021-07-10,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786,1640,0,364,234,658993,540,1,62,63,0,70,70,408,1,0,2755,601,2630,9,69,78,0,39,39,469,9,1560
2021-07-10,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1215,2373,0,247,226,648297,2908,3,114,117,0,129,129,1619,41,0,2250,842,2175,48,42,90,15,54,69,392,77,880
2021-07-10,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,5.0,23470,17260,5,4277,1970,3416374,5668,4,269,273,0,829,829,3047,5,40,6568,3051,6164,130,495,625,116,425,541,2541,303,2046
2021-07-11,Johor,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3101,3398,0,392,347,1774374,2502,0,209,209,0,171,171,1260,0,0,5160,1521,4973,97,152,249,104,78,182,900,193,2884
2021-07-11,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107,1592,0,382,283,645184,540,0,93,93,0,70,70,407,0,0,2755,622,2630,5,71,76,0,28,28,500,8,1604
2021-07-11,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943,3704,0,300,105,513728,2908,4,165,169,0,120,120,1663,44,0,2250,842,2175,13,66,79,10,41,51,443,49,766
2021-07-11,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18177,17406,0,4682,1965,3071651,5668,4,394,398,0,654,654,2791,5,40,6568,3057,6164,86,470,556,45,315,360,2621,294,1927
2021-07-12,Johor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4266,4710,0,407,234,1955075,2502,0,245,245,0,119,119,1368,0,0,5160,1521,4973,161,133,294,93,142,235,860,249,2919
2021-07-12,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034,1670,0,415,154,752718,540,0,69,69,0,44,44,430,0,0,2664,595,2539,4,77,81,0,18,18,540,4,1489
2021-07-12,Pahang,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3559,4739,0,314,128,738922,2908,6,198,204,11,152,163,1704,36,0,2250,842,2175,6,50,56,19,51,70,411,63,883
2021-07-12,Selangor,0.0,0.0,0.0,1.0,0.0,0.0,2.0,30965,14178,18,4308,1772,3599529,5668,3,346,349,0,690,690,2447,8,40,6568,3086,6155,77,361,438,71,278,349,2645,303,1986
2021-07-13,Johor,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5440,4425,0,406,222,1898159,2562,0,202,202,0,100,100,1467,0,0,5160,1521,4973,170,154,324,114,138,252,900,229,3033
2021-07-13,Kedah,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3237,2403,0,497,262,733393,540,0,48,48,0,98,98,394,0,0,2664,595,2539,3,79,82,0,34,34,543,4,1469
2021-07-13,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4025,3363,0,321,328,723244,2908,9,242,251,1,174,175,1772,47,0,2250,842,2175,14,81,95,14,66,80,419,64,906
2021-07-13,Selangor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35422,17922,6,5263,1994,3599947,5668,1,358,359,1,534,535,2274,5,40,6568,3155,6151,108,428,536,80,367,447,2693,246,2033
2021-07-14,Johor,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6691,4914,5,396,316,2120533,2562,0,259,259,0,128,128,1590,0,0,5160,1521,4973,129,139,268,96,113,209,925,211,3045
2021-07-14,Kedah,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2615,2711,0,504,121,778711,540,0,95,95,0,59,59,417,0,0,2664,648,2539,4,89,93,0,35,35,551,4,1459
2021-07-14,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788,2727,0,400,343,765848,2908,7,142,149,0,269,269,1652,51,0,2250,842,2175,14,54,68,9,50,59,422,68,1016
2021-07-14,Selangor,2.0,0.0,0.0,0.0,0.0,0.0,3.0,32711,20174,7,5051,2433,3740545,5146,2,467,469,1,473,474,2270,3,40,6568,3065,6145,3,600,603,0,370,370,3043,261,1799
2021-07-15,Johor,1.0,1.0,0.0,0.0,0.0,0.0,5.0,8222,4906,0,599,307,2121228,2562,0,324,324,0,170,170,1274,0,0,5160,1521,4973,131,154,285,90,111,201,952,222,2931
2021-07-15,Kedah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541,2369,0,695,262,771578,540,0,75,75,0,82,82,396,0,0,2664,648,2539,4,83,87,0,36,36,577,3,1404
2021-07-15,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107,2908,0,222,220,751369,2908,2,175,177,7,256,263,1553,46,0,2250,842,2182,25,60,85,10,36,46,441,83,937
2021-07-15,Selangor,1.0,0.0,1.0,1.0,0.0,0.0,4.0,35710,20791,7,6120,2416,3738055,5146,3,343,346,0,495,495,2119,5,40,6568,3156,6143,96,500,596,67,363,430,3082,266,1679
2021-07-16,Johor,1.0,2.0,1.0,1.0,0.0,0.0,3.0,5341,6175,2,609,473,2075811,2562,0,347,347,0,156,156,1417,0,0,5160,1521,4973,151,177,328,106,111,217,999,222,2817
2021-07-16,Kedah,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2223,2785,0,458,400,669889,540,0,77,77,0,76,76,384,0,0,2664,648,2539,3,89,92,0,43,43,586,3,1418
2021-07-16,Pahang,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3328,4097,0,382,366,748393,2908,14,240,254,5,178,183,1609,55,0,2250,842,2182,14,56,70,17,34,51,463,81,881
