State,Interest Score
Johor,100
Pulau Pinang,93
Negeri Sembilan,85
Sarawak,78
Perak,71
Kedah,67
Sabah,60
Pahang,60
Selangor,51
Melaka,49
Kelantan,49
W.P. Kuala Lumpur,47
Terengganu,9
W.P. Labuan,0
W.P. Putrajaya,0
Perlis,0
