State,Interest Score
Sabah,100
Perak,58
W.P. Kuala Lumpur,53
Sarawak,45
Pulau Pinang,45
Selangor,37
Negeri Sembilan,34
Johor,32
Pahang,28
Kelantan,24
Kedah,23
Melaka,21
Terengganu,20
W.P. Putrajaya,17
Perlis,0
W.P. Labuan,0
