State,Interest Score
Selangor,100
Pulau Pinang,94
W.P. Kuala Lumpur,92
Johor,82
Negeri Sembilan,81
Sarawak,78
Melaka,78
W.P. Putrajaya,76
Pahang,75
Sabah,75
Kedah,74
Perlis,74
Perak,72
Kelantan,70
Terengganu,69
W.P. Labuan,50
